"Sample_name","Individual","Week","Genus","Bd_load","Second_Run","Filter_load","samp","AB","trt","log","logfilt","pair","pairnum"
"C24.2",24,2,"Espadarana",0,NA,NA,"C24",NA,"n",0,NA,NA,NA
"C24.3",24,3,"Espadarana",0,NA,NA,"C24",NA,"n",0,NA,NA,NA
"C24.4",24,4,"Espadarana",0,NA,NA,"C24",NA,"n",0,NA,NA,NA
"C24.5",24,5,"Espadarana",0,NA,NA,"C24",NA,"n",0,NA,NA,NA
"C24.6",24,6,"Espadarana",0,NA,NA,"C24",NA,"n",0,NA,NA,NA
"C24.7",24,7,"Espadarana",0,0,NA,"C24",NA,"n",0,NA,NA,NA
"C25.0",25,0,"Espadarana",0,NA,NA,"C25",NA,"m",0,NA,"A33","17"
"C25.1",25,1,"Espadarana",0.6925728172,NA,NA,"C25",NA,"m",0.526249748335236,NA,"A33","17"
"C25.2",25,2,"Espadarana",0,NA,0,"C25",NA,"m",0,0,"A33","17"
"C25.3",25,3,"Espadarana",0,NA,0,"C25",NA,"m",0,0,"A33","17"
"C25.4",25,4,"Espadarana",3446.181640625,NA,0,"C25",NA,"m",8.14531226040702,0,"A33","17"
"C25.5",25,5,"Espadarana",2.1356016397,NA,97.0753669739,"C25",NA,"m",1.14282106626251,4.58573623385665,"A33","17"
"C25.6",25,6,"Espadarana",7.7675259113,NA,NA,"C25",NA,"m",2.1710546584085,NA,"A33","17"
"C25.7",25,7,"Espadarana",1.5067794919,0,13.9254510403,"C25",NA,"m",0.918998858347205,2.70306787927765,"A33","17"
"C26.2",26,2,"Espadarana",0,NA,NA,"C26",NA,"n",0,NA,NA,NA
"C26.3",26,3,"Espadarana",0,NA,NA,"C26",NA,"n",0,NA,NA,NA
"C26.4",26,4,"Espadarana",0,NA,NA,"C26",NA,"n",0,NA,NA,NA
"C26.5",26,5,"Espadarana",0,NA,NA,"C26",NA,"n",0,NA,NA,NA
"C26.6",26,6,"Espadarana",0,NA,NA,"C26",NA,"n",0,NA,NA,NA
"C26.7",26,7,"Espadarana",0,0,NA,"C26",NA,"n",0,NA,NA,NA
"C27.2",27,2,"Espadarana",0.0605899421,NA,NA,"C27",NA,"n",0.0588253024588796,NA,NA,NA
"C27.3",27,3,"Espadarana",0,0,NA,"C27",NA,"n",0,NA,NA,NA
"C27.5",27,5,"Espadarana",0.0007235843,NA,NA,"C27",NA,"n",0.000723322639095239,NA,NA,NA
"C27.6",27,6,"Espadarana",0.3134974465,NA,NA,"C27",NA,"n",0.272693386098934,NA,NA,NA
"C27.7",27,7,"Espadarana",0,0,NA,"C27",NA,"n",0,NA,NA,NA
"C28.2",28,2,"Espadarana",1.0073181242,NA,NA,"C28",NA,"n",0.696799564577607,NA,NA,NA
"C28.3",28,3,"Espadarana",0,NA,NA,"C28",NA,"n",0,NA,NA,NA
"C28.4",28,4,"Espadarana",0,NA,NA,"C28",NA,"n",0,NA,NA,NA
"C28.5",28,5,"Espadarana",0.3119010106,NA,NA,"C28",NA,"n",0.271477238437655,NA,NA,NA
"C28.6",28,6,"Espadarana",0,NA,NA,"C28",NA,"n",0,NA,NA,NA
"C28.7",28,7,"Espadarana",0,0.1697006822,NA,"C28",NA,"n",0,NA,NA,NA
"C29.2",29,2,"Espadarana",0.355489105,NA,NA,"C29",NA,"n",0.304162352299788,NA,NA,NA
"C29.3",29,3,"Espadarana",0,NA,NA,"C29",NA,"n",0,NA,NA,NA
"C29.4",29,4,"Espadarana",0,NA,NA,"C29",NA,"n",0,NA,NA,NA
"C29.5",29,5,"Espadarana",0.1738538034,NA,NA,"C29",NA,"n",0.16029218503147,NA,NA,NA
"C29.6",29,6,"Espadarana",0.5491465703,NA,NA,"C29",NA,"n",0.437704179488967,NA,NA,NA
"C29.7",29,7,"Espadarana",0.2504867688,0,NA,"C29",NA,"n",0.223532890551852,NA,NA,NA
"C3.0",3,0,"Espadarana",3.2730722427,NA,NA,"C3",NA,"s",1.45233306330577,NA,NA,NA
"C3.1",3,1,"Espadarana",0.3278890252,NA,0,"C3",NA,"s",0.283590482201017,0,NA,NA
"C3.2",3,2,"Espadarana",0,NA,0,"C3",NA,"s",0,0,NA,NA
"C3.3",3,3,"Espadarana",2.5149720907,NA,0,"C3",NA,"s",1.25703158517421,0,NA,NA
"C3.4",3,4,"Espadarana",0,NA,0,"C3",NA,"s",0,0,NA,NA
"C3.5",3,5,"Espadarana",0,NA,0,"C3",NA,"s",0,0,NA,NA
"C3.6",3,6,"Espadarana",0,NA,NA,"C3",NA,"s",0,NA,NA,NA
"C3.7",3,7,"Espadarana",0.8731650561,0,0,"C3",NA,"s",0.627629543498114,0,NA,NA
"C30.2",30,2,"Espadarana",0,NA,NA,"C30",NA,"n",0,NA,NA,NA
"C30.3",30,3,"Espadarana",0,NA,NA,"C30",NA,"n",0,NA,NA,NA
"C30.4A",30,4,"Espadarana",0.2572903596,NA,NA,"C30","A","n",0.228958897046045,NA,NA,NA
"C30.4B",30,4,"Espadarana",0,NA,NA,"C30","B","n",0,NA,NA,NA
"C30.5",30,5,"Espadarana",0.0417297799,NA,NA,"C30",NA,"n",0.0408825813888338,NA,NA,NA
"C30.6",30,6,"Espadarana",0.3123005293,NA,NA,"C30",NA,"n",0.271781726257674,NA,NA,NA
"C30.7",30,7,"Espadarana",0,0,NA,"C30",NA,"n",0,NA,NA,NA
"C4.0",4,0,"Espadarana",0,NA,NA,"C4",NA,"m",0,NA,"A5","9"
"C4.1",4,1,"Espadarana",0.5209424719,NA,43.321018219,"C4",NA,"m",0.419330190010912,3.79145901643054,"A5","9"
"C4.2",4,2,"Espadarana",0.6049881503,NA,2.3118950427,"C4",NA,"m",0.473116373564071,1.19752054601484,"A5","9"
"C4.3",4,3,"Espadarana",18.8859570026,NA,0,"C4",NA,"m",2.99001380436104,0,"A5","9"
"C4.4",4,4,"Espadarana",0,NA,0,"C4",NA,"m",0,0,"A5","9"
"C4.5",4,5,"Espadarana",0,NA,0,"C4",NA,"m",0,0,"A5","9"
"C4.6",4,6,"Espadarana",233.9419746399,NA,NA,"C4",NA,"m",5.45933856722932,NA,"A5","9"
"C4.7",4,7,"Espadarana",1.5573421121,0,0,"C4",NA,"m",0.938968481688679,0,"A5","9"
"C5.0",5,0,"Espadarana",0.926816985,NA,NA,"C5",NA,"m",0.655869410868976,NA,"A7","10"
"C5.1",5,1,"Espadarana",0.8357667178,NA,1.357948631,"C5",NA,"m",0.607462224103704,0.857792016890606,"A7","10"
"C5.2",5,2,"Espadarana",0,NA,3.1314200163,"C5",NA,"m",0,1.41862117748968,"A7","10"
"C5.3",5,3,"Espadarana",1.2267173082,NA,0,"C5",NA,"m",0.800528441825415,0,"A7","10"
"C5.4",5,4,"Espadarana",0,NA,0,"C5",NA,"m",0,0,"A7","10"
"C5.5",5,5,"Espadarana",0,NA,3.4035158157,"C5",NA,"m",0,1.48240327087723,"A7","10"
"C5.6",5,6,"Espadarana",0,NA,NA,"C5",NA,"m",0,NA,"A7","10"
"C5.7",5,7,"Espadarana",0.8069171011,0.6783103198,0,"C5",NA,"m",0.591622134022036,0,"A7","10"
"C6.0",6,0,"Espadarana",0.8871074021,NA,NA,"C6",NA,"s",0.635045181618857,NA,NA,NA
"C6.1",6,1,"Espadarana",0.2442933619,NA,NA,"C6",NA,"s",0.2185677879785,NA,NA,NA
"C6.2",6,2,"Espadarana",0,NA,4.5435258746,"C6",NA,"s",0,1.71263073777597,NA,NA
"C6.3",6,3,"Espadarana",0,NA,0,"C6",NA,"s",0,0,NA,NA
"C6.4",6,4,"Espadarana",0,NA,0,"C6",NA,"s",0,0,NA,NA
"C6.5",6,5,"Espadarana",0.4233951494,NA,0,"C6",NA,"s",0.35304496812115,0,NA,NA
"C6.6",6,6,"Espadarana",0.5933847278,NA,NA,"C6",NA,"s",0.465860513256466,NA,NA,NA
"C6.7",6,7,"Espadarana",1.376182884,0,0,"C6",NA,"s",0.865495369918725,0,NA,NA
"C7.0",7,0,"Espadarana",0.1573701389,NA,NA,"C7",NA,"s",0.146150309669251,NA,NA,NA
"C7.1",7,1,"Espadarana",0.2412813343,NA,NA,"C7",NA,"s",0.21614418020766,NA,NA,NA
"C7.2",7,2,"Espadarana",0.4330176115,NA,3.7868854403,"C7",NA,"s",0.359782438721665,1.56587997870559,NA,NA
"C7.3",7,3,"Espadarana",0.841505304,NA,2.8226181865,"C7",NA,"s",0.610583337159492,1.34093557698274,NA,NA
"C7.4",7,4,"Espadarana",0,NA,0.293952208,"C7",NA,"s",0,0.257701261857236,NA,NA
"C7.5",7,5,"Espadarana",0,NA,0,"C7",NA,"s",0,0,NA,NA
"C7.6",7,6,"Espadarana",0,NA,NA,"C7",NA,"s",0,NA,NA,NA
"C7.7",7,7,"Espadarana",2.1167422831,0,NA,"C7",NA,"s",1.13678831629539,NA,NA,NA
"C8.0",8,0,"Espadarana",1.3679495454,NA,NA,"C8",NA,"s",0.862024409953549,NA,NA,NA
"C8.1",8,1,"Espadarana",1.4091925323,NA,NA,"C8",NA,"s",0.879291642522987,NA,NA,NA
"C8.2",8,2,"Espadarana",0,NA,0,"C8",NA,"s",0,0,NA,NA
"C8.3",8,3,"Espadarana",0,NA,0,"C8",NA,"s",0,0,NA,NA
"C8.4",8,4,"Espadarana",0,NA,0,"C8",NA,"s",0,0,NA,NA
"C8.5",8,5,"Espadarana",0,NA,0,"C8",NA,"s",0,0,NA,NA
"C8.6",8,6,"Espadarana",0,NA,NA,"C8",NA,"s",0,NA,NA,NA
"C8.7",8,7,"Espadarana",1.7422667146,0,0,"C8",NA,"s",1.00878484650452,0,NA,NA
"C9.0",9,0,"Espadarana",0,NA,NA,"C9",NA,"s",0,NA,NA,NA
"C9.1",9,1,"Espadarana",0.5029880255,NA,NA,"C9",NA,"s",0.407455143673232,NA,NA,NA
"C9.2",9,2,"Espadarana",0.6180775166,NA,0,"C9",NA,"s",0.481238726388582,0,NA,NA
"C9.3",9,3,"Espadarana",0,NA,NA,"C9",NA,"s",0,NA,NA,NA
"C9.4",9,4,"Espadarana",0,NA,0,"C9",NA,"s",0,0,NA,NA
"C9.5",9,5,"Espadarana",0,NA,0,"C9",NA,"s",0,0,NA,NA
"C9.6",9,6,"Espadarana",0.7214938849,NA,NA,"C9",NA,"s",0.543192451597277,NA,NA,NA
"C9.7",9,7,"Espadarana",0.6227294728,0,NA,"C9",NA,"s",0.484109591213473,NA,NA,NA
